Stream,Substrate,pH,Temp,Bci,Hard,Alkali,Phosphate
BEAR,Shale,7,2,1389.24,51.3,0,0.05
FISH,Shale,7,2,1336,68.4,17.1,0.07
FOX,Shale,6.75,9,1417.27,68.4,51.3,0.04
GRUNLEY,Shale,7.2,9,1264.47,51.3,51.3,0.11
ABIJAH,Shale,6.75,8,1412.81,34.2,34.2,0.12
SSANDY,Shale,6.8,10,1483.84,51.3,51.3,0.06
DENNING,Shale,7,11,1367.07,51.3,68.4,0.06
GULF,Shale,7.2,9,1307.88,51.3,51.3,0.05
RAYSTONE,Shale,7,9,1503.25,51.3,51.3,0.26
DEER,Shale,6.5,5,1332.21,34.2,34.2,0.16
EDICK,Shale,6.8,4,1304.76,34.2,34.2,0.05
LUTHER,Shale,6.8,4,1349.22,51.3,34.2,0.1
BEARGULF,Shale,7,5,1419.93,34.2,51.3,0.07
NONAME,Shale,6.8,5,1605.11,34.2,34.2,0.05
NOBRANCH,Mixed,7.5,7,1114.83,188.1,102.6,0.06
SANDYLIB,Mixed,7.5,2,1192.93,119.7,188.1,0.29
SANDYSPR,Mixed,7.8,5,1578.67,119.7,119.7,0.1
SKINNER,Mixed,7.5,4,1336.13,34.2,34.2,0
LINDSAY,Mixed,7,6,1467.96,34.2,34.2,0
RAYSTONE,Mixed,7.25,9,1485.15,34.7,51.3,0
SSANDY,Mixed,7.25,9,1447.51,51.3,51.3,0.01
STEBBINS,Limestone,7.5,2,1026.57,171,188.1,0.51
STONY,Limestone,7.5,6,1292.46,171,102.6,0.01
MILL,Limestone,7.75,9,1228.84,188.1,102.6,0.01
SWICKS,Limestone,8,10,1108.9,256.5,205.2,0.01
LSTONEY,Limestone,7.75,9,1141.71,171,171,0.03
GREEN,Limestone,7.75,8,1384.46,188.1,85.5,0.09
KELSEY,Limestone,8,8,649.36,205.2,171,0.08
COLDCREE,Limestone,8,9,1247.4,239.4,222.3,0.28
MILLRUT,Limestone,8,7,1264.35,153.9,0,0.12
SKINNERM,Limestone,7,6,1337.91,34.2,51.3,0.05
STAPLIN,Limestone,8,6,1095.78,188.1,171,0.15
STONEYHE,Limestone,8,10,1091.5,188.1,188.1,0.04
DEERLICK,Limestone,8,11,1105.97,171,136.8,0.06
SANDYBEL,Limestone,8,9,1439.15,136.8,119.7,0.03
BEAR,Limestone,7.5,9,1365.07,68.4,85.5,0.05
